Symbol;Company Name
TRV;The Travelers Companies, Inc.
XOM;Exxon Mobil Corporation
V;Visa Inc.
PFE;Pfizer Inc.
CAT;Caterpillar Inc.
IBM;International Business Machines Corporation
JNJ;Johnson & Johnson
AAPL;Apple Inc.
MSFT;Microsoft Corporation
UTX;United Technologies Corporation
MMM;3M Company
VZ;Verizon Communications Inc.
WMT;Walmart Inc.
KO;The Coca-Cola Company
UNH;UnitedHealth Group Incorporated
PG;The Procter & Gamble Company
CVX;Chevron Corporation
MCD;McDonald's Corporation
AXP;American Express Company
MRK;Merck & Co., Inc.
HD;The Home Depot, Inc.
WBA;Walgreens Boots Alliance, Inc.
CSCO;Cisco Systems, Inc.
GS;The Goldman Sachs Group, Inc.
NKE;NIKE, Inc.
JPM;JPMorgan Chase & Co.
BA;The Boeing Company
DIS;The Walt Disney Company
DWDP;DowDuPont Inc.
INTC;Intel Corporation